68,33,YRFzvrLSS7kbUevc3u8RI73rLD8=,rwXfBk5GKjhv2k+zHuHLg/h6ujA=
68,34,YRFzvrLSS7kbUevc3u8RI73rLD8=,rwXfBk5GKjhv2k+zHuHLg/h6ujA=
66,35,YRFzvrLSS7kbUevc3u8RI73rLD8=,rwXfBk5GKjhv2k+zHuHLg/h6ujA=
67,35,81obIsxWYTcrYWmRBjEUgNI9dNc=,rwXfBk5GKjhv2k+zHuHLg/h6ujA=
77,47,81obIsxWYTcrYWmRBjEUgNI9dNc=,rwXfBk5GKjhv2k+zHuHLg/h6ujA=
72,35,81obIsxWYTcrYWmRBjEUgNI9dNc=,rwXfBk5GKjhv2k+zHuHLg/h6ujA=
78,47,jCxhGwAyHSGz3KuGYcNM6lBYBf4=,rwXfBk5GKjhv2k+zHuHLg/h6ujA=
69,33,VXY+Oqf9P2uqOyYCvEiHxWNfTUw=,rwXfBk5GKjhv2k+zHuHLg/h6ujA=
73,35,VXY+Oqf9P2uqOyYCvEiHxWNfTUw=,rwXfBk5GKjhv2k+zHuHLg/h6ujA=
67,32,VXY+Oqf9P2uqOyYCvEiHxWNfTUw=,rwXfBk5GKjhv2k+zHuHLg/h6ujA=
75,47,VXY+Oqf9P2uqOyYCvEiHxWNfTUw=,rwXfBk5GKjhv2k+zHuHLg/h6ujA=
74,47,VXY+Oqf9P2uqOyYCvEiHxWNfTUw=,rwXfBk5GKjhv2k+zHuHLg/h6ujA=
72,47,VXY+Oqf9P2uqOyYCvEiHxWNfTUw=,rwXfBk5GKjhv2k+zHuHLg/h6ujA=
76,47,VXY+Oqf9P2uqOyYCvEiHxWNfTUw=,rwXfBk5GKjhv2k+zHuHLg/h6ujA=
68,35,VXY+Oqf9P2uqOyYCvEiHxWNfTUw=,rwXfBk5GKjhv2k+zHuHLg/h6ujA=
65,32,VXY+Oqf9P2uqOyYCvEiHxWNfTUw=,rwXfBk5GKjhv2k+zHuHLg/h6ujA=
73,47,VXY+Oqf9P2uqOyYCvEiHxWNfTUw=,rwXfBk5GKjhv2k+zHuHLg/h6ujA=
71,47,VXY+Oqf9P2uqOyYCvEiHxWNfTUw=,rwXfBk5GKjhv2k+zHuHLg/h6ujA=
69,47,VXY+Oqf9P2uqOyYCvEiHxWNfTUw=,rwXfBk5GKjhv2k+zHuHLg/h6ujA=
70,35,VXY+Oqf9P2uqOyYCvEiHxWNfTUw=,rwXfBk5GKjhv2k+zHuHLg/h6ujA=
70,47,VXY+Oqf9P2uqOyYCvEiHxWNfTUw=,rwXfBk5GKjhv2k+zHuHLg/h6ujA=
68,47,VXY+Oqf9P2uqOyYCvEiHxWNfTUw=,rwXfBk5GKjhv2k+zHuHLg/h6ujA=
67,47,VXY+Oqf9P2uqOyYCvEiHxWNfTUw=,rwXfBk5GKjhv2k+zHuHLg/h6ujA=
65,47,VXY+Oqf9P2uqOyYCvEiHxWNfTUw=,rwXfBk5GKjhv2k+zHuHLg/h6ujA=
66,47,VXY+Oqf9P2uqOyYCvEiHxWNfTUw=,rwXfBk5GKjhv2k+zHuHLg/h6ujA=
74,35,VXY+Oqf9P2uqOyYCvEiHxWNfTUw=,rwXfBk5GKjhv2k+zHuHLg/h6ujA=
71,35,VXY+Oqf9P2uqOyYCvEiHxWNfTUw=,rwXfBk5GKjhv2k+zHuHLg/h6ujA=
64,47,VXY+Oqf9P2uqOyYCvEiHxWNfTUw=,rwXfBk5GKjhv2k+zHuHLg/h6ujA=
65,35,VXY+Oqf9P2uqOyYCvEiHxWNfTUw=,rwXfBk5GKjhv2k+zHuHLg/h6ujA=
68,32,VXY+Oqf9P2uqOyYCvEiHxWNfTUw=,rwXfBk5GKjhv2k+zHuHLg/h6ujA=
78,46,VXY+Oqf9P2uqOyYCvEiHxWNfTUw=,rwXfBk5GKjhv2k+zHuHLg/h6ujA=
67,34,VXY+Oqf9P2uqOyYCvEiHxWNfTUw=,rwXfBk5GKjhv2k+zHuHLg/h6ujA=
76,46,VXY+Oqf9P2uqOyYCvEiHxWNfTUw=,rwXfBk5GKjhv2k+zHuHLg/h6ujA=
75,46,VXY+Oqf9P2uqOyYCvEiHxWNfTUw=,rwXfBk5GKjhv2k+zHuHLg/h6ujA=
77,46,VXY+Oqf9P2uqOyYCvEiHxWNfTUw=,rwXfBk5GKjhv2k+zHuHLg/h6ujA=
74,46,VXY+Oqf9P2uqOyYCvEiHxWNfTUw=,rwXfBk5GKjhv2k+zHuHLg/h6ujA=
